row.names,Pop,i,A,LF,LG,SF,SG,CEC,CO3Ca,CS,pH,CdS,CrS,CuS,FeS,MnS,NiS,PbS,ZnS,CdD,CuD,PbD,ZnD,CdN,CuN,ZnN,CdB,CrB,CuB,FeB,MgB,MnB,NiB,PbB,ZnB
ChM2,M, 2,3.563883,3.468856,2.827314, 1.740466 , 2.302585  ,2.484907, 5.863631, 0.6678294  ,2.104134,-1.609438   ,4.097672,2.674149, 0.8329091 ,6.167516,3.214868,3.109061,3.577948,-2.937463 , 0.124869  , 0.2561914  ,-0.1648746 ,0        ,3.705982,1.609438,-3.411248,-0.7808861,0.9477894,3.540959, 0          ,2.944439,-0.9441759  ,-6.907755 ,2.873565
ChM3,M, 3,3.747148,3.210844,2.509599, 2.140066 , 2.484907  ,2.928524, 5.560682, 0.7129498  ,2.104134,-0.7339692  ,4.497585,2.667228, 1.235471  ,6.997596,3.508556,3.806662,4.618086,-2.302585 , 0.02858746, 1.055009   , 0.4213385 ,0        ,3.459466,1.609438,-3.649659,-0.8915981,1.589235 ,3.280911, 0.03922071 ,3.414443,-1.158362   ,-6.907755 ,2.766319
ChM4,M, 4,3.974058,3.100092,2.388763, 2.014903 , 1.824549  ,3.288402, 4.317488, 1.050822   ,2.079442, 0.2468601  ,4.717606,2.944439, 1.671473  ,7.814803,3.919991,4.551769,5.899897,-1.439695 , 0.09893995, 1.600397   , 1.5499    ,0.5423243,3.505557,1.609438,-3.146555,-1.081755 ,1.747459 ,3.586293, 0          ,3.706228,-1.005122   ,-5.805815 ,3.058707
ChM5,M, 5,3.523415,3.543854,2.140066, 2.24071  , 2.61007   ,3.039749, 5.905362, 0.9162907  ,2.104134, 0.9895412  ,3.226844,2.99072 , 1.415853  ,8.500657,3.063391,4.92144 ,6.302069,-0.9888614, 0.686626  , 1.578979   , 2.639057  ,0        ,3.630456,2.415021,-3.611918,-0.9416085,1.435084 ,3.377588,-0.03045921 ,3.555348,-1.22078    ,-6.907755 ,3.363842
ChM6,M, 6,3.48124 ,3.449988,2.261763, 2.397895 , 2.734368  ,2.785011, 6.113682, 0.9242589  ,2.116256, 0.5822156  ,3.417727,2.587764, 1.088562  ,8.274357,2.727853,4.862908,5.798486,-1.366492 , 0.2452964 , 1.938022   , 2.155013  ,0        ,3.498929,5.301462,-3.649659,-0.5276327,1.386294 ,3.471966, 0.10436    ,3.703768,-1.89712    ,-6.907755 ,3.430756
ChM7,M, 7,3.424263,3.580737,2.128232, 2.341806 , 2.681022  ,3.025291, 5.393628, 0.9858168  ,2.104134, 0.6981347  ,3.325036,2.833213, 1.449269  ,8.478036,3.342862,4.48074 ,6.063785,-1.161552 , 0.3548733 , 0.9345235  , 1.924249  ,0        ,3.500137,1.965713,-3.611918,-0.5124937,1.499623 ,3.363842, 0.009950331,3.826465,-1.194022   ,-6.907755 ,3.465736
ChM8,M, 8,3.921973,3.186353,2.681022, 1.974081 , 1.252763  ,3.292126, 2.397895, 0.9707789  ,2.028148,-0.09431068 ,4.602166,3.010621, 1.7613    ,8.199189,3.730501,4.390739,5.803326,-1.6874   , 0.348542  , 1.059178   , 1.706202  ,0.1739533,3.381675,2.078191,-3.772261,-0.644357 ,0.6881346,3.50255 , 0.10436    ,3.824284,-1.687399   ,-6.907755 ,3.242592
ChM9,M, 9,3.862833,3.109061,2.85647 , 2.079442 , 1.526056  ,3.039749, 4.143135, 0.8285518  ,2.091864,-1.171183   ,4.374498,3.131137, 1.435085  ,7.410347,3.706228,3.693867,4.301359,-2.60369  , 0.3832195 , 0.6765095  ,-0.2810375 ,0        ,3.602777,1.609438,-4.199705,-0.7194912,0.8020016,3.258097, 0.10436    ,3.720862,-0.9623347  ,-6.907755 ,2.97553 
ChM10,M,10,3.666122,3.407842,2.76001 , 1.824549 , 2.163323  ,2.797281, 5.627621, 0.4382549  ,2.116256,-1.237874   ,4.104295,2.85647 , 1.255616  ,7.138867,3.65842 ,3.433987,4.094345,-2.995732 , 0.01390291, 0.4317824  ,-0.8141855 ,0        ,3.450939,1.609438,-3.729701,-0.5361434,0.3646431,3.377588, 0.0295588  ,3.532226,-1.89712    ,-4.134542 ,2.867899
ChM11,M,11,3.499533,3.374169,2.879198, 2.197225 , 2.388763  ,2.646175, 5.602119, 0.6523252  ,2.104134,-1.171183   ,4.01458 ,2.862201, 1.22083   ,6.967909,3.535145,3.430756,4.131961,-2.864704 , 0.1731126 , 0.3082197  ,-0.5923973 ,0        ,3.519277,3.144583,-3.649659,-0.3974969,0.8671005,3.346389,-0.03045921 ,3.605498,-1.05843    ,-6.907755 ,2.785011
ChT1,T, 1,2.791165,3.144152,2.509599, 2.219204 , 3.663562  ,1.916923,-6.907755, 0.07696104 ,1.808289,-1.660731   ,3.068053,2.70805 , 0.5596158 ,7.760467,2.549445,3.889777,4.097672,-2.937463 , 1.041336  , 0.2692635  , 1.4947    ,1.813195 ,3.279783,6.520032,-3.863233,-1.324259 ,1.366092 ,3.356897, 0.1133287  ,4.097672, 0.1988509  ,-3.146323 ,3.407842
ChT2,T, 2,2.867899,2.960105,2.028148, 2.091864 , 3.858622  ,1.791759,-6.907755, 0.2700271  ,1.987874,-1.237874   ,2.163323,3.985273, 0.65752   ,8.042699,2.351375,5.514235,4.329417,-2.796881 , 0.809596  , 1.895819   , 0.1414996 ,0        ,3.869324,1.609438,-3.611918,-1.331806 ,1.814825 ,3.505557, 0.10436    ,3.901973, 0.5187938  ,-3.441707 ,3.086487
ChT3,T, 3,2.639057,2.74084 ,1.931521, 2.753661 , 3.869116  ,1.94591 ,-6.907755, 0.1222176  ,1.931521,-1.347074   ,3.091042,2.509599, 1.033184  ,7.895436,2.734368,3.779634,3.871201,-2.864704 , 0.4536202 , 0.1922719  , 0.8704562 ,0        ,3.17346 ,2.607124,-3.863233,-1.200645 ,1.410987 ,3.532226, 0.1570037  ,3.956996, 0.1310283  ,-4.016828 ,3.261935
ChT4,T, 4,2.646175,2.572612,2.04122 , 2.727853 , 3.908015  ,1.740466,-6.907755, 0.07696104 ,1.824549,-1.347074   ,3.198673,2.701361, 0.5247285 ,7.650645,2.653242,4.171306,3.703768,-2.513306 , 0.7765688 , 0.5911144  , 1.198156  ,2.00148  ,3.09874 ,5.535285,-3.296837,-1.117795 ,1.20896  ,3.427515, 0.10436    ,3.867026, 0.0295588  ,-4.342037 ,3.222868
