NO2 ;PtC;Trajet;vitesse;Typo;Auto;Com;Dep;GBd;Nat;Periph;Tun;Agglo;GCR;ParisR;PCR;P10PA1H;P2PA1H;N2PA1H;Saison;Période
143.37;70.78;B Charlie (1);24;PC_PC;13;25;18;0;44;0;0;100;0;0;100;44.6;18.5;69;ete;Matin
82.38;58.7;B Charlie (2);28;PC_PC;0;17;6;0;77;0;0;100;0;0;100;47.4;41.7;44;hiver;Soir
128.02;54.3;B Echo (1);55;GC_GC;51;0;31;0;19;0;0;100;100;0;0;44.3;21;74;ete;Matin
119.56;64.37;B Echo (2);20;GC_GC;57;18;25;0;0;0;0;100;100;0;0;44.4;39.1;45.5;hiver;Soir
169.87;64.45;B Foxtrot (1);27;GC_Paris;44;0;14;42;0;0;0;100;23;42;34;44.8;22.6;64.5;ete;Matin
184.48;108.27;B Foxtrot (2);30;GC_Paris;39;5;5;30;0;22;2;100;32;51;16;48.2;40.4;44.5;hiver;Soir
70.8;55.09;C Bravo (1);30;GC_GC;0;55;0;0;45;0;0;100;100;0;0;35.3;14.8;51;ete;Matin
68.33;43.17;C Bravo (2);30;GC_GC;0;30;49;0;21;0;0;100;100;0;0;44.9;26.2;68.5;hiver;Matin
105.3;35.48;C Bravo (3);29;GC_GC;0;9;91;0;0;0;0;100;100;0;0;19.2;11.2;55;hiver;Soir
95.94;102.99;C Bravo (4);34;GC_GC;0;44;56;0;0;0;0;100;100;0;0;34.6;20.2;80.5;hiver;Soir
100.93;62.41;C Charlie (1);36;GC_GC;58;11;22;0;9;0;0;62;100;0;0;36.6;15.5;48.5;ete;Matin
120.6;81.74;C Charlie (2);51;GC_GC;64;18;12;0;6;0;0;57;100;0;0;49.4;27.8;72.5;hiver;Matin
123.9;74.41;C Charlie (3);32;GC_GC;0;14;65;0;22;0;0;100;100;0;0;19.2;10.1;57;hiver;Soir
143.49;109.73;C Charlie (4);31;GC_GC;0;13;88;0;0;0;0;100;100;0;0;36.5;22.3;79;hiver;Soir
219.97;93.5;C Delta (1);29;GC_Paris;59;10;0;25;0;6;2;100;46;30;24;45.4;19;50;ete;Matin
224.82;128.9;C Delta (2);23;GC_Paris;0;0;5;21;48;25;1;100;35;47;18;59.1;32.4;79;hiver;Matin
175.58;78.71;C Delta (3);33;GC_Paris;60;0;0;18;14;8;1;100;62;27;11;17.7;12.3;49.5;hiver;Soir
225.04;130.9;C Delta (4);31;GC_Paris;52;0;2;23;0;22;1;100;47;46;7;33.5;21.4;72;hiver;Soir
123.86;62.97;D Alpha (1);48;Paris_PC;28;0;22;50;0;0;0;100;0;50;50;25.8;11.2;48.5;ete;Matin
169.08;64.7;D Alpha (2);54;Paris_PC;53;14;0;33;0;0;0;100;0;33;67;26.4;15.9;61.5;ete;Soir
85.7;NA;D Alpha (3);39;Paris_PC;23;10;34;33;0;0;0;100;0;33;67;15.1;6.6;20.5;hiver;Matin
140.18;61.36;D Alpha (4);38;Paris_PC;22;0;0;61;17;0;0;100;0;61;39;34.7;21.5;74.5;hiver;Soir
137.76;59.71;D Charlie (1);28;GC_GC;18;0;71;0;12;0;0;100;100;0;0;29.7;12;51;ete;Matin
109.61;38.08;D Charlie (2);27;GC_GC;0;30;0;0;70;0;0;100;100;0;0;25.2;14.3;51.5;ete;Soir
89.56;37.38;D Charlie (3);24;GC_GC;0;45;0;0;55;0;0;100;100;0;0;17.2;5.3;37.5;hiver;Matin
122.55;50.56;D Charlie (4);29;GC_GC;34;23;43;0;0;0;0;100;100;0;0;26.7;15.6;68;hiver;Soir
112.55;55.19;D Delta (1);21;GC_PC;0;3;36;0;61;0;0;100;85;0;15;35.4;13.5;48;ete;Matin
188.83;72.23;D Delta (2);23;GC_PC;77;3;8;0;13;0;1;100;93;0;7;23.5;15.9;31;ete;Soir
121.21;65.15;D Delta (3);41;GC_PC;54;17;20;0;9;0;0;100;66;0;34;16.4;4.2;39;hiver;Matin
120.61;59.95;D Delta (4);19;GC_PC;0;42;44;0;14;0;0;100;60;0;40;28.6;14.2;66;hiver;Soir
183.98;46.37;D Echo (1);15;PC_Paris;0;0;4;45;50;0;0;100;0;49;51;40.9;12.6;36.5;ete;Matin
166.93;85.91;D Echo (2);35;PC_Paris;32;14;0;24;32;0;0;100;0;24;77;23.6;16.9;33.5;ete;Soir
90.32;52.81;D Echo (3);44;PC_Paris;35;0;0;19;46;0;0;100;0;19;81;16.1;5.6;34;hiver;Matin
256.81;173.67;D Echo (4);31;PC_Paris;23;19;0;32;10;16;2;100;0;48;52;24.7;11.7;66.5;hiver;Soir
87.96;39.95;E Bravo (1);40;PC_GC;0;26;8;0;66;0;0;100;43;0;57;17.2;8.7;48.5;ete;Matin
112.17;23.14;E Bravo (2);48;PC_GC;0;19;33;0;48;0;0;100;48;0;52;21.4;12.3;47;hiver;Soir
103.54;33.45;E Charlie (1);27;GC_GC;0;13;63;0;24;0;0;72;100;0;0;22.3;8.5;55;ete;Matin
53.18;14.76;E Charlie (2);35;GC_GC;0;0;58;0;42;0;0;80;100;0;0;20.2;11.8;48;hiver;Soir
101.93;44.11;E Delta (1);40;GC_GC;68;23;0;0;9;0;0;100;100;0;0;31.2;10;49.5;ete;Matin
96.58;28.78;E Delta (2);31;GC_GC;37;5;50;0;8;0;1;100;100;0;0;21.4;13;50.5;hiver;Soir
164.33;85.92;E Echo (1);21;GC_Paris;46;11;0;27;0;15;16;100;35;43;23;29.4;11.8;NA;ete;Matin
210.02;96.72;E Echo (2);28;GC_Paris;55;0;10;22;3;10;9;100;39;32;28;18.9;8.6;59;hiver;Soir
98.79;65.74;F Bravo (1);23;GC_PC;0;8;24;0;69;0;0;100;25;0;75;19.6;4.3;17;ete;Soir
88.89;57.16;F Bravo (2);21;GC_PC;0;0;23;0;77;0;0;100;22;0;78;17.4;6.1;NA;ete;Matin
163.08;102.32;F Bravo (3);26;GC_PC;0;0;32;0;68;0;0;100;20;0;80;19.3;1.3;53;hiver;Soir
110.7;68.37;F Bravo (4);19;GC_PC;0;26;27;0;47;0;0;100;33;0;67;26.8;12.7;60.5;hiver;Matin
95.65;60.97;F Charlie (1);35;PC_PC;48;52;0;0;0;0;13;100;0;0;100;17.7;2.3;19;ete;Soir
249.48;135.2;F Charlie (2);32;PC_PC;68;0;32;0;0;0;31;100;0;0;100;20.1;7.1;NA;ete;Matin
213.64;97.5;F Charlie (3);34;PC_PC;49;31;20;0;0;0;11;100;0;0;100;19;0.9;43.5;hiver;Soir
192.22;104.82;F Charlie (4);43;PC_PC;48;19;33;0;0;0;10;100;0;0;100;29.3;14.1;55.5;hiver;Matin
82.35;42.45;F Delta (1);27;PC_PC;22;17;17;0;45;0;0;100;0;0;100;19;4.6;18.5;ete;Soir
148.01;99.47;F Delta (2);28;PC_PC;57;13;30;0;0;0;10;100;0;0;100;23.2;10.2;NA;ete;Matin
190.33;80.54;F Delta (3);17;PC_PC;19;26;11;0;43;0;0;100;0;0;100;15.8;3.5;37.5;hiver;Soir
94.54;34.13;F Delta (4);25;PC_PC;0;29;15;0;56;0;0;100;0;0;100;NA;13.8;56.5;hiver;Matin
90.93;36.67;F Echo (1);31;PC_Paris;0;28;0;48;24;0;0;100;0;48;52;19.4;6.1;19;ete;Soir
161.59;101.1;F Echo (2);13;PC_Paris;0;0;0;50;50;0;0;100;0;79;21;25.1;11.6;NA;ete;Matin
156.52;109.95;F Echo (3);15;PC_Paris;0;38;0;60;2;0;0;100;0;60;40;15.8;5.9;32.5;hiver;Soir
104.23;55.11;F Echo (4);15;PC_Paris;0;19;0;67;14;0;0;100;0;67;33;NA;14.1;61.5;hiver;Matin
120.77;57.91;G Bravo (1);38;GC_GC;25;0;0;0;75;0;0;100;100;0;0;52.7;NA;75;hiver;Matin
140.69;75.81;G Bravo (2);50;GC_GC;30;0;0;0;70;0;0;100;100;0;0;30.2;17.7;74.5;hiver;Soir
194.78;92.9;G Delta (1);36;GC_PC;26;19;54;0;0;0;5;100;31;0;69;68;NA;73.5;hiver;Matin
292.32;132.7;G Delta (2);25;GC_PC;55;6;39;0;0;0;12;100;21;0;79;31.9;18.6;68;hiver;Soir
203.69;80.41;G Foxtrot (1);20;PC_Paris;0;0;18;82;0;0;1;100;0;71;29;64.6;NA;72.5;hiver;Matin
174.8;111.37;G Foxtrot (2);13;PC_Paris;0;0;19;81;0;0;1;100;0;81;19;28.6;19.2;59;hiver;Soir
51.38;20.56;H Bravo (1);55;GC_GC;0;32;68;0;0;0;0;53;100;0;0;17.4;7.8;25;ete;Soir
56.25;19.38;H Bravo (2);48;GC_GC;23;25;52;0;0;0;0;37;100;0;0;17.5;NA;47;hiver;Matin
153.51;80.03;H Charlie (1);48;GC_Paris;36;0;10;26;0;28;9;100;28;54;18;14.9;8.1;27.5;ete;Soir
141.32;72.45;H Charlie (2);37;GC_Paris;47;45;0;8;0;0;7;100;27;45;27;15.8;NA;44.5;hiver;Matin
88.13;35.76;I Bravo (1);39;GC_GC;0;17;0;0;83;0;0;76;100;0;0;29.9;16.3;NA;ete;Soir
98.11;51.02;I Bravo (2);36;GC_GC;16;22;7;0;55;0;0;66;100;0;0;NA;10.9;67;hiver;Matin
149.68;55.29;I Charlie (1);26;GC_GC;0;0;53;0;48;0;0;100;100;0;0;30.2;15.5;NA;ete;Soir
115.59;67.14;I Charlie (2);23;GC_GC;0;0;23;0;77;0;0;100;100;0;0;20;11.9;63;hiver;Matin
114.28;53.62;I Delta (1);29;GC_GC;0;0;63;0;37;0;0;100;100;0;0;32.6;17.5;NA;ete;Soir
70.03;38.84;I Delta (2);30;GC_GC;0;0;56;0;44;0;0;100;100;0;0;23.4;14;60.5;hiver;Matin
173.74;74;I Echo (1);31;GC_Paris;27;0;12;38;23;0;7;100;39;38;23;31.2;17.7;NA;ete;Soir
97.35;63.14;I Echo (2);48;GC_Paris;15;0;11;24;24;26;7;100;40;51;9;25.7;14.2;46.5;hiver;Matin
158.87;80.99;J Alpha (1);25;Paris_PC;13;13;0;28;0;47;8;100;0;75;25;35.7;16;27;ete;Soir
154.36;80.21;J Alpha (2);22;Paris_PC;13;70;0;17;0;0;5;100;0;72;28;25.3;NA;37.5;hiver;Matin
126.37;68.98;J Bravo (1);46;PC_GC;63;37;0;0;0;0;3;100;41;0;59;32.7;13.8;24;ete;Soir
143.54;89.47;J Bravo (2);52;PC_GC;53;47;0;0;0;0;4;100;43;0;57;17.4;NA;43.5;hiver;Matin
