NO2 ;PtC;Trajet;vitesse;Typo;Auto;Com;Dep;GBd;Nat;Periph;Tun;Agglo;GCR;ParisR;PCR;P10PA1H;P2PA1H;N2PA1H;Saison;Période
101.93;48.66;N Bravo (1);28;PC_PC;0;34;16;0;50;0;0;100;0;0;100;22.2;7.7;43.5;ete;Soir
93.55;73.08;N Bravo (2);21;PC_PC;0;24;47;0;29;0;0;100;0;0;100;NA;9.9;NA;ete;Matin
145.44;60.9;N Bravo (3);20;PC_PC;0;0;33;0;67;0;0;100;0;0;100;43.3;22.6;44;hiver;Soir
82.53;47.7;N Bravo (4);23;PC_PC;0;20;44;0;36;0;0;100;0;0;100;17.1;10.2;42;hiver;Matin
105.77;45.09;N Charlie (1);35;PC_PC;37;29;0;0;34;0;5;100;0;0;100;22.9;6.4;37.5;ete;Soir
109.52;58.75;N Charlie (2);25;PC_PC;0;32;23;0;45;0;0;100;0;0;100;NA;NA;NA;ete;Matin
172.9;75.14;N Charlie (3);32;PC_PC;40;31;0;0;30;0;5;100;0;0;100;45.1;20.4;60;hiver;Soir
200.82;118.59;N Charlie (4);15;PC_PC;37;6;39;0;18;0;7;100;0;0;100;17.2;9.8;43.5;hiver;Matin
117.7;61.55;N Delta (1);69;PC_GC;76;24;0;0;0;0;0;100;73;0;27;18.5;7;28;ete;Soir
111.57;66.2;N Delta (2);30;PC_GC;0;11;28;0;60;0;3;100;78;0;22;NA;NA;NA;ete;Matin
174.52;65.31;N Delta (3);54;PC_GC;48;19;0;0;33;0;0;100;77;0;23;44.6;19.9;60;hiver;Soir
145.17;80.75;N Delta (4);49;PC_GC;35;14;35;0;16;0;0;100;91;0;9;20.7;12.2;58;hiver;Matin
153.85;60.69;N Echo (1);41;GC_Paris;44;0;15;41;0;0;0;100;44;41;15;22.3;7.1;25.5;ete;Soir
173.53;98.65;N Echo (2);28;GC_Paris;67;0;13;14;0;6;2;100;36;20;44;NA;NA;NA;ete;Matin
181.44;105.05;N Echo (3);31;GC_Paris;14;0;16;13;49;8;5;100;67;21;12;44.5;21.5;38.5;hiver;Soir
152.76;98.74;N Echo (4);44;GC_Paris;61;0;15;19;0;6;1;100;41;25;35;25;14;46;hiver;Matin
177.5;95;O Alpha (1);31;Paris_PC;50;0;11;20;0;19;8;100;0;39;61;27.4;16.7;NA;ete;Soir
146.7;92.15;O Alpha (2);57;Paris_PC;37;0;15;27;0;22;0;100;0;48;52;17.7;10;36.5;ete;Matin
128.43;81.86;O Alpha (3);40;Paris_PC;13;0;12;10;30;36;5;100;0;46;54;16.5;16.2;46.5;hiver;Soir
141.55;80.81;O Alpha (4);46;Paris_PC;32;0;27;21;0;20;2;100;0;41;59;7.7;6.4;31;hiver;Matin
115.19;55.05;O Bravo (1);41;PC_PC;41;0;59;0;0;0;2;100;0;0;100;25.5;17.7;NA;ete;Soir
104.42;78.7;O Bravo (2);35;PC_PC;31;13;56;0;0;0;1;100;0;0;100;16.8;12.5;39;ete;Matin
124.54;59.95;O Bravo (3);37;PC_PC;47;0;53;0;0;0;2;100;0;0;100;16.1;19.9;50;hiver;Soir
130.82;85.22;O Bravo (4);29;PC_PC;55;0;28;0;17;0;2;100;0;0;100;3.8;5.4;38.5;hiver;Matin
111.31;55.4;O Charlie (1);40;PC_PC;39;0;61;0;0;0;2;100;0;0;100;25.9;18.9;NA;ete;Soir
124.14;96.47;O Charlie (2);51;PC_PC;48;28;24;0;0;0;2;100;0;0;100;26.9;18.8;37.5;ete;Matin
130.78;77.84;O Charlie (3);32;PC_PC;57;0;43;0;0;0;2;100;0;0;100;19.9;20.1;55.5;hiver;Soir
126.52;70.48;O Charlie (4);50;PC_PC;51;0;21;0;27;0;2;100;0;0;100;5.6;4.5;52;hiver;Matin
176.11;98.22;O Echo (1);29;GC_Paris;29;22;26;10;0;13;2;100;51;23;26;26.2;15;NA;ete;Soir
100.59;71.46;O Echo (2);38;GC_Paris;26;51;0;0;11;12;3;100;16;63;21;29.5;12.6;33.5;ete;Matin
116.34;60.69;O Echo (3);23;GC_Paris;11;51;2;15;21;0;1;100;20;62;18;51.6;21.8;50.5;hiver;Soir
143.68;83.47;O Echo (4);24;GC_Paris;0;11;0;14;45;29;2;100;21;44;35;10;7.7;62;hiver;Matin
155.37;67.18;P Alpha (1);22;Paris_PC;0;0;0;80;20;0;2;100;0;80;20;32.7;19.3;41.5;ete;Matin
165.51;79.37;P Alpha (2);19;Paris_PC;0;11;14;38;27;11;10;100;0;59;41;40.9;19.2;45.5;ete;Soir
129.67;65.68;P Alpha (3);21;Paris_PC;0;0;0;59;41;0;1;100;0;59;41;15;4.9;37;hiver;Matin
172.95;66.95;P Alpha (4);10;Paris_PC;0;0;0;62;38;0;4;100;0;62;38;19.3;9.5;59;hiver;Soir
125.85;50.18;P Charlie (1);19;PC_GC;0;23;77;0;0;0;0;100;53;0;47;26.8;18.8;49.5;ete;Matin
105.12;47.94;P Charlie (2);19;PC_GC;0;0;100;0;0;0;0;100;71;0;29;35;15.5;44.5;ete;Soir
116.57;41.82;P Charlie (3);23;PC_GC;0;13;19;0;68;0;8;100;53;0;47;17.9;7.9;44;hiver;Matin
105.06;54.13;P Charlie (4);20;PC_GC;0;0;100;0;0;0;0;100;50;0;50;21.3;9.9;52.5;hiver;Soir
169.51;83.9;P Delta (1);18;GC_Paris;0;0;46;26;28;0;5;100;46;0;54;24.9;20.5;55;ete;Matin
