n°	Del	Doute	Per	P	jour	h	Sexe	Age	A	Occu	Lieu	Bilan	Dev	Dec	Cou
12	Del	1	P1	Pa	640910	NA	NA	NA	NA	NA	NA	B	0	0	0
25	Del	0	P2	Pb	641118	NA	M	adu	adu	NA	NA	R	0	0	0
27	Del	1	P2	Pb	641130	NA	M	ado	ado	NA	NA	R	0	0	0
29	Del	0	P2	Pb	641219	NA	F	40	adu	NA	NA	R	0	0	0
33	Del	1	P2	Pb	641226	NA	F	20	ado	NA	NA	M	1	0	0
34	Del	0	P2	Pb	641228	NA	F	12	enf	b	NA	R	0	0	0
35	Del	1	P2	Pb	641230	NA	M	ado	ado	b	NA	M	1	0	0
40	Del	0	P2	Pb	650111	8	M	enf	enf	NA	NA	R	0	0	0
45	Del	0	P2	Pb	650117	17	M	adu	adu	b	NA	R	0	0	0
49	Del	1	P2	Pb	650128	NA	F	11	enf	NA	v	B	0	0	0
51	Del	0	P2	Pb	650130	NA	F	adu	adu	NA	c	R	0	0	0
53	Del	0	P2	Pb	650206	NA	M	13	ado	NA	NA	R	0	0	0
55	Del	1	P2	Pb	650217	NA	F	adu	adu	NA	v	B	0	0	0
56	Del	1	P2	Pb	650218	NA	M	ado	ado	b	NA	M	0	0	0
58	Del	1	P2	Pb	650222	NA	M	ado	ado	NA	NA	BG	0	0	0
60	Del	0	P2	Pb	650227	8	F	15	ado	NA	NA	R	0	0	0
61	Del	0	P2	Pb	650228	10	F	adu	adu	NA	v	R	0	0	1
61	Del	0	P2	Pb	650228	10	F	adu	adu	NA	v	R	0	0	0
66	Del	0	P2	Pb	650305	NA	M	ado	ado	b	NA	R	0	0	0
68	Del	1	P2	Pb	650308	NA	F	8	enf	NA	p	M	0	0	0
71	Del	1	P2	Pb	650311	17	M	20	ado	NA	NA	B	0	0	0
76	Del	0	P2	Pb	650318	NA	M	ado	ado	NA	NA	R	0	0	0
78	Del	0	P2	Pb	650321	NA	M	enf	enf	NA	NA	R	0	0	0
79	Del	0	P2	Pb	650324	8	M	enf	enf	NA	v	R	0	0	0
81	Del	0	P2	Pb	650329	14	M	14	ado	b	NA	R	0	0	0
87	Del	1	P2	Pb	650410	NA	M	adu	adu	NA	NA	M	1	0	0
